dataset_index,speaker_id,chapter_id,utterance_id,reference,wav_prediction,wav_wer,compressed_prediction,compressed_wer,compression_ratio,dataset,codec,bitrate,delta_sample_wer,wav_substitutions,wav_deletions,wav_insertions,compressed_substitutions,compressed_deletions,compressed_insertions,delta_substitutions,delta_deletions,delta_insertions,wav_correct,compressed_correct,new_error,recovered,worsened,improved,unchanged
431,2609,169640,16,THE STILLNESS THAT REIGNED ON BOTH SIDES WAS LIKE THAT OF DEATH,THE STILLNESS THAT REIGNED ON BOTH SIDES WAS LIKE THAT OF DEATH,0.0,THE STILLNESS TAT RANGON BOAT SIDE WAS LIKE THAT OF DEATH,0.4166666666666667,15.226362313975606,test-other,mp3,16k,0.4166666666666667,0,0,0,4,1,0,4,1,0,True,False,True,False,True,False,False
2024,6128,63244,11,IF IT BE NECESSARY WE ARE PREPARED TO TAKE CERTAIN STEPS TO CONCILIATE THE SHRINKING,IF IT BE NECESSARY WE ARE PREPARED TO TAKE CERTAIN STEPS TO CONCILIATE THE SHRINKING,0.0,IF I BE NECESSARY WE AR WITHOUT TO TAKE OUT AF THAT TO CONCILIATE THE SHRINKING,0.4,30.2641975308642,test-other,opus,8k,0.4,0,0,0,5,0,1,5,0,1,True,False,True,False,True,False,False
2013,6128,63244,0,MISS CHANCELLOR HERSELF HAD THOUGHT SO MUCH ON THE VITAL SUBJECT WOULD NOT SHE MAKE A FEW REMARKS AND GIVE THEM SOME OF HER EXPERIENCES,MISS CHANCELLOR HERSELF HAD THOUGHT SO MUCH ON THE VITAL SUBJECT WOULD NOT SHE MAKE A FEW REMARKS AND GIVE THEM SOME OF HER EXPERIENCES,0.0,MISS CHANCELER IS BOUT AS OT SO MUCH ON THE VITAL SUBJECT WITH MUCH HE MADE A FEW REMARKS AND GIVE THEM SOME OF THER EXPERIENCES,0.4,30.558469529963254,test-other,opus,8k,0.4,0,0,0,9,0,1,9,0,1,True,False,True,False,True,False,False
2369,7902,96592,24,BEEN PLAYING THE SPY THAT'S WHAT YOU'VE BEEN DOING WHO LOCKED YOU IN,BEEN PLAYING THE SPY THAT'S WHAT YOU'VE BEEN DOING WHO LOCKED YOU IN,0.0,TEEN PLAYING A SPY THAT'S WHERE YOU'VE BEEN DOING THE LOCK YOU IN,0.3846153846153846,15.207849018872642,test-other,mp3,16k,0.3846153846153846,0,0,0,5,0,0,5,0,0,True,False,True,False,True,False,False
809,3528,168669,114,YOU WILL DO IT AS SPEEDILY AS POSSIBLE,YOU WILL DO IT AS SPEEDILY AS POSSIBLE,0.0,YOU WILL DO IT IT SPEEDILY IF THOUGHTFUL,0.375,31.94525684289464,test-other,opus,8k,0.375,0,0,0,3,0,0,3,0,0,True,False,True,False,True,False,False
1984,6128,63240,13,SHE WAS ATTRACTIVE AND IMPERTINENT ESPECIALLY THE LATTER,SHE WAS ATTRACTIVE AND IMPERTINENT ESPECIALLY THE LATTER,0.0,SHE WAS A PLUCTIVE AND IMPERTININT ESPECIALLY THE LATTER,0.375,31.674786324786325,test-other,opus,8k,0.375,0,0,0,2,0,1,2,0,1,True,False,True,False,True,False,False
2531,7975,280084,13,WHAT KEPT YOU SO LONG I ASKED PITTS,WHAT KEPT YOU SO LONG I ASKED PITTS,0.0,LOT KEPT YO SO LONG I ASKED PITS,0.375,30.5666246321984,test-other,opus,8k,0.375,0,0,0,3,0,0,3,0,0,True,False,True,False,True,False,False
1717,5442,41169,17,BUT ONE'S WORK IS THROWN IN FOR NOTHING,BUT ONE'S WORK IS THROWN IN FOR NOTHING,0.0,BUT ONE'S WORT AT'S OWN IN FOR NOTHING,0.375,30.6867279062401,test-other,opus,8k,0.375,0,0,0,3,0,0,3,0,0,True,False,True,False,True,False,False
2525,8555,284447,24,COME AND GET THE BOOLOOROO SHE SAID GOING TOWARD THE BENCHES,COME AND GET THE BOOLOOROO SHE SAID GOING TOWARD THE BENCHES,0.0,COMING BUT THE BOLLOOROO SHE SAID GOING TOWARD THE BENCHES,0.3636363636363636,15.366884125504814,test-clean,mp3,16k,0.3636363636363636,0,0,0,3,1,0,3,1,0,True,False,True,False,True,False,False
4,1089,134686,4,NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND,NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND,0.0,NUMBERTEN FRESCH NELLI IS WAITING ON YOU GOOD NIGHT HUSBAND,0.3636363636363636,10.369542264455625,test-clean,mp3,24k,0.3636363636363636,0,0,0,3,1,0,3,1,0,True,False,True,False,True,False,False
4,1089,134686,4,NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND,NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND,0.0,NUMBERTEN FRESCH NELLI IS WAITING ON YOU GOOD NIGHT HUSBAND,0.3636363636363636,7.804422007198617,test-clean,mp3,32k,0.3636363636363636,0,0,0,3,1,0,3,1,0,True,False,True,False,True,False,False
4,1089,134686,4,NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND,NUMBER TEN FRESH NELLY IS WAITING ON YOU GOOD NIGHT HUSBAND,0.0,NUMBERTEN FRESCH NELLI IS WAITING ON YOU GOOD NIGHT HUSBAND,0.3636363636363636,15.446387269867705,test-clean,mp3,16k,0.3636363636363636,0,0,0,3,1,0,3,1,0,True,False,True,False,True,False,False
1248,4507,16021,27,PHOENICIAN VERY GOOD,PHOENICIAN VERY GOOD,0.0,PHENICIAN VERY GOOD,0.3333333333333333,29.25308924485126,test-clean,opus,8k,0.3333333333333333,0,0,0,1,0,0,1,0,0,True,False,True,False,True,False,False
728,3528,168669,33,HEY MORE OFTEN,HEY MORE OFTEN,0.0,EH MORE OFTEN,0.3333333333333333,23.232868584989617,test-other,opus,12k,0.3333333333333333,0,0,0,1,0,0,1,0,0,True,False,True,False,True,False,False
728,3528,168669,33,HEY MORE OFTEN,HEY MORE OFTEN,0.0,EY MORE OFTEN,0.3333333333333333,18.790307101727446,test-other,opus,16k,0.3333333333333333,0,0,0,1,0,0,1,0,0,True,False,True,False,True,False,False
1806,5764,299665,2,WHETHER ANY PRAYER WAS EVER ANSWERED,WHETHER ANY PRAYER WAS EVER ANSWERED,0.0,WHETHER ANY PRAYER WHATEVER ANSWERED,0.3333333333333333,32.083250249252245,test-other,opus,8k,0.3333333333333333,0,0,0,1,1,0,1,1,0,True,False,True,False,True,False,False
728,3528,168669,33,HEY MORE OFTEN,HEY MORE OFTEN,0.0,EH MORE OFTEN,0.3333333333333333,14.875213675213676,test-other,mp3,16k,0.3333333333333333,0,0,0,1,0,0,1,0,0,True,False,True,False,True,False,False
453,1995,1826,14,COTTON SHE PAUSED,COTTON SHE PAUSED,0.0,CARTON SHE PAUSED,0.3333333333333333,14.80458495100758,test-clean,mp3,16k,0.3333333333333333,0,0,0,1,0,0,1,0,0,True,False,True,False,True,False,False
1248,4507,16021,27,PHOENICIAN VERY GOOD,PHOENICIAN VERY GOOD,0.0,POENICIAN VERY GOOD,0.3333333333333333,14.523517382413088,test-clean,mp3,16k,0.3333333333333333,0,0,0,1,0,0,1,0,0,True,False,True,False,True,False,False
1718,5442,41169,18,OH WELL ONE DOES IT WHAT WOULD YOU HAVE,OH WELL ONE DOES IT WHAT WOULD YOU HAVE,0.0,OH WELL WONDERIT WHAT WOULD YOU HAVE,0.3333333333333333,15.23923271806008,test-other,mp3,16k,0.3333333333333333,0,0,0,1,2,0,1,2,0,True,False,True,False,True,False,False
728,3528,168669,33,HEY MORE OFTEN,HEY MORE OFTEN,0.0,EH MORE OFTEN,0.3333333333333333,7.6,test-other,mp3,32k,0.3333333333333333,0,0,0,1,0,0,1,0,0,True,False,True,False,True,False,False
306,2414,128292,16,THE DEVIL HIMSELF IS PERHAPS SKIN,THE DEVIL HIMSELF IS PERHAPS SKIN,0.0,THAT DEVIL HIMSELF IS PERHAPS KIN,0.3333333333333333,10.150110375275938,test-other,mp3,24k,0.3333333333333333,0,0,0,2,0,0,2,0,0,True,False,True,False,True,False,False
1806,5764,299665,2,WHETHER ANY PRAYER WAS EVER ANSWERED,WHETHER ANY PRAYER WAS EVER ANSWERED,0.0,READER ANI PRAYER WAS EVER ANSWERED,0.3333333333333333,10.267049533381192,test-other,mp3,24k,0.3333333333333333,0,0,0,2,0,0,2,0,0,True,False,True,False,True,False,False
728,3528,168669,33,HEY MORE OFTEN,HEY MORE OFTEN,0.0,EH MORE OFTEN,0.3333333333333333,32.26946847960445,test-other,opus,8k,0.3333333333333333,0,0,0,1,0,0,1,0,0,True,False,True,False,True,False,False
453,1995,1826,14,COTTON SHE PAUSED,COTTON SHE PAUSED,0.0,CARTON SHE PAUSED,0.3333333333333333,10.008498937632796,test-clean,mp3,24k,0.3333333333333333,0,0,0,1,0,0,1,0,0,True,False,True,False,True,False,False
1806,5764,299665,2,WHETHER ANY PRAYER WAS EVER ANSWERED,WHETHER ANY PRAYER WAS EVER ANSWERED,0.0,WHETHER ANIPRAYER WAS EVER ANSWERED,0.3333333333333333,15.263607257203844,test-other,mp3,16k,0.3333333333333333,0,0,0,1,1,0,1,1,0,True,False,True,False,True,False,False
2013,6128,63244,0,MISS CHANCELLOR HERSELF HAD THOUGHT SO MUCH ON THE VITAL SUBJECT WOULD NOT SHE MAKE A FEW REMARKS AND GIVE THEM SOME OF HER EXPERIENCES,MISS CHANCELLOR HERSELF HAD THOUGHT SO MUCH ON THE VITAL SUBJECT WOULD NOT SHE MAKE A FEW REMARKS AND GIVE THEM SOME OF HER EXPERIENCES,0.0,MISS CHANCELEY HERSELF HAS THOUGHT SO MUCH ON THE VITAL SUBJECT WOULD NOT SEMAA Y REMARKS SENDING THEM SOME OF HER EXPERIENCES,0.32,15.572212537930143,test-other,mp3,16k,0.32,0,0,0,5,3,0,5,3,0,True,False,True,False,True,False,False
2415,7902,96594,19,WHAT FOR THERE AREN'T A PUBLIC HOUSE FOR TEN MILES DIDN'T MEAN THAT,WHAT FOR THERE AREN'T A PUBLIC HOUSE FOR TEN MILES DIDN'T MEAN THAT,0.0,WHAT FOR THERE ARE TO PUBLICAS FOR TEN MILES DIDN'T MEAN THAT,0.3076923076923077,32.333813640730064,test-other,opus,8k,0.3076923076923077,0,0,0,3,1,0,3,1,0,True,False,True,False,True,False,False
2415,7902,96594,19,WHAT FOR THERE AREN'T A PUBLIC HOUSE FOR TEN MILES DIDN'T MEAN THAT,WHAT FOR THERE AREN'T A PUBLIC HOUSE FOR TEN MILES DIDN'T MEAN THAT,0.0,WHAT FOR THERE ARET TO PUBLIC US FOR TEN LILES DIDN'T MEAN THAT,0.3076923076923077,15.311952689639488,test-other,mp3,16k,0.3076923076923077,0,0,0,4,0,0,4,0,0,True,False,True,False,True,False,False
2369,7902,96592,24,BEEN PLAYING THE SPY THAT'S WHAT YOU'VE BEEN DOING WHO LOCKED YOU IN,BEEN PLAYING THE SPY THAT'S WHAT YOU'VE BEEN DOING WHO LOCKED YOU IN,0.0,BECLYING THE SPY THAT'S WHAT YOU'VE BEEN DOING THELL LOCK YOU IN,0.3076923076923077,31.90298898793917,test-other,opus,8k,0.3076923076923077,0,0,0,3,1,0,3,1,0,True,False,True,False,True,False,False
1991,6128,63240,20,ONE DIDN'T EVEN KNOW WHAT ONE HAD COME BACK FOR,ONE DIDN'T EVEN KNOW WHAT ONE HAD COME BACK FOR,0.0,ONE DIDN'T EVEN NER WOULD ONE HAVE COME BACK FOR,0.3,15.07928164695576,test-other,mp3,16k,0.3,0,0,0,3,0,0,3,0,0,True,False,True,False,True,False,False
146,1998,29454,22,WELL THAT'LL SHOW YOU THE SORT OF MAN I AM,WELL THAT'LL SHOW YOU THE SORT OF MAN I AM,0.0,WELL THAT SHOW YOU THIS LOT OF MAN I AM,0.3,15.055313659087243,test-other,mp3,16k,0.3,0,0,0,3,0,0,3,0,0,True,False,True,False,True,False,False
1426,4350,9170,44,AND FOR THE SAKE OF WHAT AM I MAKING THEM,AND FOR THE SAKE OF WHAT AM I MAKING THEM,0.0,AND FOR THE SAKE OF WHAT I MAKINGAM,0.3,31.488897860314896,test-other,opus,8k,0.3,0,0,0,1,2,0,1,2,0,True,False,True,False,True,False,False
1479,5142,33396,17,WE ATE AT MANY MEN'S TABLES UNINVITED,WE ATE AT MANY MEN'S TABLES UNINVITED,0.0,WE ATED MANY MEN'S TABLES UNINVITED,0.2857142857142857,20.479980587236103,test-clean,opus,12k,0.2857142857142857,0,0,0,1,1,0,1,1,0,True,False,True,False,True,False,False
2021,6128,63244,8,THIS MIGHT SEEM ONE OF THE MOST ACCESSIBLE OF PLEASURES BUT IN POINT OF FACT SHE HAD NOT FOUND IT SO,THIS MIGHT SEEM ONE OF THE MOST ACCESSIBLE OF PLEASURES BUT IN POINT OF FACT SHE HAD NOT FOUND IT SO,0.0,THIS MIGHT SEE ONE OF THE MOST ASCESSABLE EPREASIONS BUT IN FORMED OF FACT SHE HAD NOT FOUND IT SELL,0.2857142857142857,15.477617631358196,test-other,mp3,16k,0.2857142857142857,0,0,0,5,1,0,5,1,0,True,False,True,False,True,False,False
1061,3764,168671,28,HE HAD HARDLY THE STRENGTH TO STAMMER,HE HAD HARDLY THE STRENGTH TO STAMMER,0.0,HE HAD HARDLY A STRENGTH TO STAMA,0.2857142857142857,29.60505166475316,test-other,opus,8k,0.2857142857142857,0,0,0,2,0,0,2,0,0,True,False,True,False,True,False,False
1479,5142,33396,17,WE ATE AT MANY MEN'S TABLES UNINVITED,WE ATE AT MANY MEN'S TABLES UNINVITED,0.0,WE ATED MANY MEN'S TABLES UNINVITED,0.2857142857142857,30.446608946608947,test-clean,opus,8k,0.2857142857142857,0,0,0,1,1,0,1,1,0,True,False,True,False,True,False,False
1113,3997,180294,25,ONLY ONE REMAINED EMPTY THE STAGE BOX,ONLY ONE REMAINED EMPTY THE STAGE BOX,0.0,ONLY ONE REMAINS EMPTY THE STAGE FOX,0.2857142857142857,10.163781258587523,test-other,mp3,24k,0.2857142857142857,0,0,0,2,0,0,2,0,0,True,False,True,False,True,False,False
1479,5142,33396,17,WE ATE AT MANY MEN'S TABLES UNINVITED,WE ATE AT MANY MEN'S TABLES UNINVITED,0.0,WE ATED MANY MEN'S TABLES UNINVITED,0.2857142857142857,14.814463752852378,test-clean,mp3,16k,0.2857142857142857,0,0,0,1,1,0,1,1,0,True,False,True,False,True,False,False
1113,3997,180294,25,ONLY ONE REMAINED EMPTY THE STAGE BOX,ONLY ONE REMAINED EMPTY THE STAGE BOX,0.0,ONLY ONE REMAINS EMPTY THE STAGE FOX,0.2857142857142857,15.09016727866177,test-other,mp3,16k,0.2857142857142857,0,0,0,2,0,0,2,0,0,True,False,True,False,True,False,False
1468,4852,28311,25,HOW THEN DID HE LIVE AND WHAT DID HE EVER SELL,HOW THEN DID HE LIVE AND WHAT DID HE EVER SELL,0.0,HOW THEN DID HE LIVE AND WHAT DOES HE EVERSELL,0.2727272727272727,15.20469163828982,test-other,mp3,16k,0.2727272727272727,0,0,0,2,1,0,2,1,0,True,False,True,False,True,False,False
2024,6128,63244,11,IF IT BE NECESSARY WE ARE PREPARED TO TAKE CERTAIN STEPS TO CONCILIATE THE SHRINKING,IF IT BE NECESSARY WE ARE PREPARED TO TAKE CERTAIN STEPS TO CONCILIATE THE SHRINKING,0.0,IF WILL BE NECESSARY WE ARE PREPARED TO TAKE SIGH A NAPS TO CONCILIATE THE SHRINKING,0.2666666666666666,15.463458592412364,test-other,mp3,16k,0.2666666666666666,0,0,0,3,0,1,3,0,1,True,False,True,False,True,False,False
757,260,123288,23,HE NODS HIS CONSENT,HE NODS HIS CONSENT,0.0,HE NODS HIS CONCERT,0.25,24.069943289224952,test-clean,opus,12k,0.25,0,0,0,1,0,0,1,0,0,True,False,True,False,True,False,False
979,3764,168670,4,EVERYTHING IS ARRANGED AND NOTHING IS SAID FAUCHELEVENT,EVERYTHING IS ARRANGED AND NOTHING IS SAID FAUCHELEVENT,0.0,EVERYTHING IS RRANGED AND NOTHING IS SAID FAUCHELAVENT,0.25,7.72159616745604,test-other,mp3,32k,0.25,0,0,0,2,0,0,2,0,0,True,False,True,False,True,False,False
1829,5764,299665,25,WHAT IS THIS POWER,WHAT IS THIS POWER,0.0,WHAT IS THESE POWER,0.25,32.97859589041096,test-other,opus,8k,0.25,0,0,0,1,0,0,1,0,0,True,False,True,False,True,False,False
593,3080,5040,18,DIRECTED FOR YOUR MASTER,DIRECTED FOR YOUR MASTER,0.0,DIRECTED FOR YOUR MOSTER,0.25,14.842548709847287,test-other,mp3,16k,0.25,0,0,0,1,0,0,1,0,0,True,False,True,False,True,False,False
757,260,123288,23,HE NODS HIS CONSENT,HE NODS HIS CONSENT,0.0,HE NODS HIS CONCERT,0.25,34.85310218978102,test-clean,opus,8k,0.25,0,0,0,1,0,0,1,0,0,True,False,True,False,True,False,False
1829,5764,299665,25,WHAT IS THIS POWER,WHAT IS THIS POWER,0.0,WHAT IF THIS POWER,0.25,3.812818609255135,test-other,mp3,64k,0.25,0,0,0,1,0,0,1,0,0,True,False,True,False,True,False,False
1829,5764,299665,25,WHAT IS THIS POWER,WHAT IS THIS POWER,0.0,WHAT IS THES POWER,0.25,8.227039726612558,test-other,opus,32k,0.25,0,0,0,1,0,0,1,0,0,True,False,True,False,True,False,False
1903,6829,68769,43,AND HE DESERVES A TERM IN STATE'S PRISON,AND HE DESERVES A TERM IN STATE'S PRISON,0.0,AND HE DEFERS A TERM IN STATES PRISON,0.25,14.939312083558438,test-clean,mp3,16k,0.25,0,0,0,2,0,0,2,0,0,True,False,True,False,True,False,False
979,3764,168670,4,EVERYTHING IS ARRANGED AND NOTHING IS SAID FAUCHELEVENT,EVERYTHING IS ARRANGED AND NOTHING IS SAID FAUCHELEVENT,0.0,EVERYTHING IS RANGED AND NOTHING IS SAID FAUCELEVENT,0.25,10.25359647220415,test-other,mp3,24k,0.25,0,0,0,2,0,0,2,0,0,True,False,True,False,True,False,False
2662,8131,117029,12,THERE WAS A GRIN ON THE OTHER'S FACE,THERE WAS A GRIN ON THE OTHER'S FACE,0.0,THERE WAS A GRIN ON THE OTHER SPACE,0.25,14.879181833940024,test-other,mp3,16k,0.25,0,0,0,2,0,0,2,0,0,True,False,True,False,True,False,False
1903,6829,68769,43,AND HE DESERVES A TERM IN STATE'S PRISON,AND HE DESERVES A TERM IN STATE'S PRISON,0.0,AND HE DESERVES THE TERM IN STATES PRISON,0.25,10.095898746501156,test-clean,mp3,24k,0.25,0,0,0,2,0,0,2,0,0,True,False,True,False,True,False,False
786,3528,168669,91,THEY PERSECUTE THE SAINTS,THEY PERSECUTE THE SAINTS,0.0,THEY PERSECUTE THE FAINTS,0.25,14.58494623655914,test-other,mp3,16k,0.25,0,0,0,1,0,0,1,0,0,True,False,True,False,True,False,False
1446,4852,28311,3,O K HE SAID,O K HE SAID,0.0,O KY HE SAID,0.25,14.784045584045584,test-other,mp3,16k,0.25,0,0,0,1,0,0,1,0,0,True,False,True,False,True,False,False
28,1688,142285,28,BUT GOOD NIGHT CHILD,BUT GOOD NIGHT CHILD,0.0,BUT GOOD NIHT CHILD,0.25,9.908815558743823,test-other,mp3,24k,0.25,0,0,0,1,0,0,1,0,0,True,False,True,False,True,False,False
1265,4507,16021,44,LOOK CLOSELY AT LIFE,LOOK CLOSELY AT LIFE,0.0,LOOK CLOSELY AT LICE,0.25,31.588473660513284,test-clean,opus,8k,0.25,0,0,0,1,0,0,1,0,0,True,False,True,False,True,False,False
844,3538,142836,18,CONFECTIONARY FIFTEEN O EIGHT,CONFECTIONARY FIFTEEN O EIGHT,0.0,CONSECTIONARY FIFTEEN O EIGHT,0.25,33.43523600439078,test-other,opus,8k,0.25,0,0,0,1,0,0,1,0,0,True,False,True,False,True,False,False
2662,8131,117029,12,THERE WAS A GRIN ON THE OTHER'S FACE,THERE WAS A GRIN ON THE OTHER'S FACE,0.0,THERE WAS A GRIN ON THE OTHER SPACE,0.25,35.15069615069615,test-other,opus,8k,0.25,0,0,0,2,0,0,2,0,0,True,False,True,False,True,False,False
2747,8188,269290,16,JANE HERIOT'S VOICE WAS HEARD IN THE PASSAGE,JANE HERIOT'S VOICE WAS HEARD IN THE PASSAGE,0.0,JANE HEAR IT'S VOICE WAS HEARD IN THE PASSAGE,0.25,34.04872646733112,test-other,opus,8k,0.25,0,0,0,1,0,1,1,0,1,True,False,True,False,True,False,False
536,3005,163399,19,MISSUS PHELPS SHE JUMPS FOR HIM AND SAYS,MISSUS PHELPS SHE JUMPS FOR HIM AND SAYS,0.0,MISSUS PHELP SHE JUMPS FOR IM AND SAYS,0.25,30.230816077953715,test-other,opus,8k,0.25,0,0,0,2,0,0,2,0,0,True,False,True,False,True,False,False
2540,8555,284449,14,THE FORMER BOOLOOROO GROANED,THE FORMER BOOLOOROO GROANED,0.0,THE FORMER BOOLOORY GROANED,0.25,31.140279657194405,test-clean,opus,8k,0.25,0,0,0,1,0,0,1,0,0,True,False,True,False,True,False,False
1624,533,131564,0,VAIN HOPE I FEAR,VAIN HOPE I FEAR,0.0,THEN HOPE I FEAR,0.25,15.991556990315372,test-other,opus,16k,0.25,0,0,0,1,0,0,1,0,0,True,False,True,False,True,False,False
1717,5442,41169,17,BUT ONE'S WORK IS THROWN IN FOR NOTHING,BUT ONE'S WORK IS THROWN IN FOR NOTHING,0.0,BUT ONE'S WORK IS SOWN AND FOR NOTHING,0.25,10.069431452032012,test-other,mp3,24k,0.25,0,0,0,2,0,0,2,0,0,True,False,True,False,True,False,False
1903,6829,68769,43,AND HE DESERVES A TERM IN STATE'S PRISON,AND HE DESERVES A TERM IN STATE'S PRISON,0.0,AND HE DESERVES THE TERM IN STATES PRISON,0.25,31.3640831758034,test-clean,opus,8k,0.25,0,0,0,2,0,0,2,0,0,True,False,True,False,True,False,False
1630,5683,32866,6,YES SO THEY SAID BUT THAT WOULD I THINK HAVE BEEN WORSE,YES SO THEY SAID BUT THAT WOULD I THINK HAVE BEEN WORSE,0.0,YES THOUGH THEY SAD BUT THAT WOULD I THINK HAVE BEEN WORST,0.25,30.212222968435192,test-clean,opus,8k,0.25,0,0,0,3,0,0,3,0,0,True,False,True,False,True,False,False
1680,5683,32879,25,THANK YOU DORCAS DEAR,THANK YOU DORCAS DEAR,0.0,THANK YOU DORCAS DERE,0.25,30.952332657200813,test-clean,opus,8k,0.25,0,0,0,1,0,0,1,0,0,True,False,True,False,True,False,False
537,2094,142345,26,SHE'S GOING TO PUT THE IRONING THINGS AWAY,SHE'S GOING TO PUT THE IRONING THINGS AWAY,0.0,SHE IS GOING TO PUT THE IRONING THINGS AWAY,0.25,31.017483716146725,test-clean,opus,8k,0.25,0,0,0,1,0,1,1,0,1,True,False,True,False,True,False,False
497,1995,1837,16,FOR ONE LONG MOMENT HE PAUSED STUPID AGAPE WITH UTTER AMAZEMENT THEN LEANED DIZZILY AGAINST A TREE,FOR ONE LONG MOMENT HE PAUSED STUPID AGAPE WITH UTTER AMAZEMENT THEN LEANED DIZZILY AGAINST A TREE,0.0,FOR ONE LONG MOMENT HE PAUSED STOPID A GAPE WITH UTTER AMAZEMENT THEN LEANE DIZZILY AGAINST A TREE,0.2352941176470588,15.617696953246927,test-clean,opus,16k,0.2352941176470588,0,0,0,3,0,1,3,0,1,True,False,True,False,True,False,False
